num_date_time,answer
1_20220825 00,2132.0352000000003
1_20220825 01,2123.9088000000006
1_20220825 02,1998.9263999999987
1_20220825 03,1983.7727999999981
1_20220825 04,1987.0607999999984
1_20220825 05,2062.9919999999993
1_20220825 06,2246.0975999999987
1_20220825 07,2641.3055999999983
1_20220825 08,2963.9135999999976
1_20220825 09,3352.6127999999985
1_20220825 10,4113.427200000002
1_20220825 11,4315.823999999999
1_20220825 12,4321.454399999999
1_20220825 13,4318.963199999999
1_20220825 14,4315.8431999999975
1_20220825 15,4256.952
1_20220825 16,4038.105599999999
1_20220825 17,3867.7248000000045
1_20220825 18,2862.1247999999987
1_20220825 19,2585.0255999999995
1_20220825 20,2366.515199999999
1_20220825 21,2046.3408
1_20220825 22,1416.1487999999993
1_20220825 23,2205.1344
1_20220826 00,2198.6736
1_20220826 01,2157.859200000001
1_20220826 02,2023.8959999999988
1_20220826 03,1931.3375999999982
1_20220826 04,1883.4815999999983
1_20220826 05,1988.111999999999
1_20220826 06,2143.694399999999
1_20220826 07,2603.6591999999982
1_20220826 08,2970.8063999999968
1_20220826 09,3366.6719999999996
1_20220826 10,4180.411200000001
1_20220826 11,4546.8431999999975
1_20220826 12,4550.798399999997
1_20220826 13,4578.878399999998
1_20220826 14,4575.124799999997
1_20220826 15,4489.526399999999
1_20220826 16,4352.5488
1_20220826 17,3904.8288000000007
1_20220826 18,2885.260799999999
1_20220826 19,2635.0367999999994
1_20220826 20,2387.4191999999985
1_20220826 21,2053.416
1_20220826 22,1414.7375999999995
1_20220826 23,2133.0864
1_20220827 00,2026.3632000000007
1_20220827 01,2001.5711999999999
1_20220827 02,1847.5295999999987
1_20220827 03,1705.9775999999983
1_20220827 04,1894.7711999999988
1_20220827 05,1969.3103999999998
1_20220827 06,2237.4191999999985
1_20220827 07,2608.348799999998
1_20220827 08,2604.559200000002
1_20220827 09,3071.2464
1_20220827 10,3844.0608
1_20220827 11,4083.1008
1_20220827 12,4113.844800000001
1_20220827 13,4117.737600000001
1_20220827 14,4112.731200000002
1_20220827 15,4066.104000000002
1_20220827 16,4072.0800000000036
1_20220827 17,3849.604800000003
1_20220827 18,2907.5375999999997
1_20220827 19,2643.4079999999994
1_20220827 20,2377.219199999998
1_20220827 21,2035.3584000000003
1_20220827 22,1399.8959999999995
1_20220827 23,2101.387199999999
1_20220828 00,1669.2816000000003
1_20220828 01,1648.2864
1_20220828 02,1495.8528000000013
1_20220828 03,1482.2880000000002
1_20220828 04,1481.5152000000005
1_20220828 05,1520.4768
1_20220828 06,1609.0415999999998
1_20220828 07,1635.0719999999992
1_20220828 08,2060.618399999998
1_20220828 09,2303.783999999999
1_20220828 10,3188.001599999998
1_20220828 11,3420.4751999999994
1_20220828 12,3488.9039999999995
1_20220828 13,3505.9919999999997
1_20220828 14,3503.5631999999996
1_20220828 15,3511.3727999999996
1_20220828 16,3551.5968
1_20220828 17,3553.5743999999995
1_20220828 18,2990.5776000000005
1_20220828 19,2669.8175999999994
1_20220828 20,2381.481599999998
1_20220828 21,2031.9552
1_20220828 22,1413.4847999999997
1_20220828 23,2127.2448
1_20220829 00,2161.8336000000004
1_20220829 01,2144.4480000000003
1_20220829 02,2050.7231999999985
1_20220829 03,2015.8463999999979
1_20220829 04,2014.2047999999977
1_20220829 05,2105.385599999998
1_20220829 06,2245.521599999998
1_20220829 07,2627.831999999997
1_20220829 08,2885.8175999999994
1_20220829 09,3425.054399999998
1_20220829 10,4170.561600000002
1_20220829 11,4525.934399999998
1_20220829 12,4534.891199999998
1_20220829 13,4535.567999999997
1_20220829 14,4548.921599999999
1_20220829 15,4418.054399999999
1_20220829 16,4340.803199999998
1_20220829 17,3899.462400000002
1_20220829 18,2915.3999999999983
1_20220829 19,2704.027199999999
1_20220829 20,2384.7119999999977
1_20220829 21,2010.8111999999987
1_20220829 22,1406.4239999999982
1_20220829 23,2127.216
1_20220830 00,2148.8736000000004
1_20220830 01,2120.702400000001
1_20220830 02,2010.9263999999987
1_20220830 03,1730.673599999998
1_20220830 04,1747.147199999998
1_20220830 05,1866.9455999999989
1_20220830 06,2003.505599999999
1_20220830 07,2899.699199999999
1_20220830 08,2960.428799999997
1_20220830 09,3313.7951999999977
1_20220830 10,4169.112000000001
1_20220830 11,4518.1439999999975
1_20220830 12,4520.817599999998
1_20220830 13,4521.974399999997
1_20220830 14,4530.763199999998
1_20220830 15,4410.950399999998
1_20220830 16,4314.302399999998
1_20220830 17,3942.7920000000017
1_20220830 18,2902.6463999999974
1_20220830 19,2698.5791999999988
1_20220830 20,2408.011199999998
1_20220830 21,2022.8256
1_20220830 22,1399.5791999999983
1_20220830 23,2140.4736
1_20220831 00,2063.7792
1_20220831 01,2038.2815999999998
1_20220831 02,1843.2911999999985
1_20220831 03,1752.0095999999978
1_20220831 04,1764.6431999999977
1_20220831 05,1877.4095999999981
1_20220831 06,2088.2399999999984
1_20220831 07,2627.5919999999987
1_20220831 08,2973.499199999997
1_20220831 09,3365.855999999998
1_20220831 10,4131.561600000002
1_20220831 11,4543.7087999999985
1_20220831 12,4556.755199999999
1_20220831 13,4557.494399999999
1_20220831 14,4559.6255999999985
1_20220831 15,4436.481600000002
1_20220831 16,4348.982400000001
1_20220831 17,3899.4288000000033
1_20220831 18,2911.2383999999984
1_20220831 19,2673.9935999999993
1_20220831 20,2394.863999999998
1_20220831 21,2053.535999999999
1_20220831 22,1403.812799999999
1_20220831 23,2134.5552
2_20220825 00,1293.1560000000004
2_20220825 01,1277.6508000000003
2_20220825 02,1266.2819999999995
2_20220825 03,1277.1827999999996
2_20220825 04,1273.5185999999994
2_20220825 05,1273.9031999999997
2_20220825 06,1245.3587999999995
2_20220825 07,1197.9378000000002
2_20220825 08,1902.268799999999
2_20220825 09,2117.145599999999
2_20220825 10,2232.439200000001
2_20220825 11,2197.458000000001
2_20220825 12,2196.3924000000015
2_20220825 13,2203.855200000001
2_20220825 14,2208.632400000001
2_20220825 15,2135.880000000001
2_20220825 16,2189.3796000000007
2_20220825 17,2203.502400000001
2_20220825 18,1970.5896000000002
2_20220825 19,1844.272799999999
2_20220825 20,1708.0415999999998
2_20220825 21,1514.0208000000007
2_20220825 22,932.7923999999996
2_20220825 23,1267.8923999999993
2_20220826 00,1279.2653999999993
2_20220826 01,1272.6755999999993
2_20220826 02,1268.8169999999993
2_20220826 03,1260.6359999999995
2_20220826 04,1259.623199999999
2_20220826 05,1249.1243999999992
2_20220826 06,1200.9438
2_20220826 07,1124.6562000000006
2_20220826 08,1930.2516000000003
2_20220826 09,2130.2675999999988
2_20220826 10,2237.6556000000005
2_20220826 11,2199.614400000001
2_20220826 12,2114.8992000000007
2_20220826 13,2073.754800000002
2_20220826 14,2083.078800000001
2_20220826 15,2101.100400000001
2_20220826 16,2087.6220000000017
2_20220826 17,2115.946800000002
2_20220826 18,2029.582800000001
2_20220826 19,1870.984799999999
2_20220826 20,1654.3080000000002
2_20220826 21,1515.7740000000003
2_20220826 22,952.8887999999995
2_20220826 23,1273.886399999999
2_20220827 00,1293.2208000000003
2_20220827 01,1291.626
2_20220827 02,1271.0891999999994
2_20220827 03,1232.9231999999993
2_20220827 04,1232.0987999999995
2_20220827 05,1049.1306000000002
2_20220827 06,969.5496
2_20220827 07,949.9932000000002
2_20220827 08,1920.7583999999995
2_20220827 09,2004.793199999999
2_20220827 10,2225.1708000000003
2_20220827 11,2258.0460000000007
2_20220827 12,2323.2852
2_20220827 13,2331.1331999999993
2_20220827 14,2366.3160000000003
2_20220827 15,2385.1691999999994
2_20220827 16,2267.6400000000003
2_20220827 17,2222.276400000001
2_20220827 18,2012.3532000000016
2_20220827 19,1786.8923999999997
2_20220827 20,1538.7785999999996
2_20220827 21,1426.6284000000005
2_20220827 22,893.8799999999993
2_20220827 23,1268.3915999999992
